HISCO,EN_HISCO_TEXT,STATUS,RELATION,PRODUCT,HISCLASS,HISCLASS_5,SOCPO,HISCAM_U1
12000,"Jurist, Specialization Unknown",,,,2,1,5,99
12100,Lawyers,,,,,,,
12110,Lawyer,11,,,2,1,5,99
12110,Lawyer,31,,,1,1,5,99
12110,Lawyer,,21,,,,5,99
12110,Lawyer,,,,2,1,5,99
12200,Judges,,,,,,,
12210,Judge,31,,,1,1,5,99
12210,Judge,33,,,4,2,5,99
12210,Judge,42,,,2,1,5,99
12210,Judge,,21,,,,5,99
12210,Judge,,,,2,1,5,99
12300,Notaries,,,,,,,
12310,Notary,23,,,4,2,42,99
12310,Notary,33,,,4,2,42,99
12310,Notary,41,,,,,42,99
12310,Notary,,22,,,,5,99
12310,Notary,,,,2,1,5,99
12400,Solicitors,,,,,,,
12410,Solicitor,31,,,1,1,5,96.02
12410,Solicitor,33,,,4,2,42,96.02
12410,Solicitor,,21,,,,5,96.02
12410,Solicitor,,,,2,1,5,96.02
12900,Jurists Not Elsewhere Classified,,,,,,,
12910,"Jurist (except Lawyer, Judge or Solicitor)",31,,,1,1,5,96.23
12910,"Jurist (except Lawyer, Judge or Solicitor)",,,,2,1,5,96.23
13000,"Teacher, Level and Subject Unknown",33,,,4,2,42,82.44
13000,"Teacher, Level and Subject Unknown",,21,,,,42,82.44
13000,"Teacher, Level and Subject Unknown",,,,2,1,42,82.44
13020,"Teacher, Level and Subject Unknown, Not University and Higher Education Level",33,,,4,2,42,66.7
13020,"Teacher, Level and Subject Unknown, Not University and Higher Education Level",,,,2,1,42,66.7
13030,"Teacher, Level and Subject Unknown, Not Primary Education",42,,,2,1,5,99
13030,"Teacher, Level and Subject Unknown, Not Primary Education",,,,2,1,42,78.08
13100,"University and Higher Education Teacher, Subject Unknown",33,,,4,2,42,99
13100,"University and Higher Education Teacher, Subject Unknown",42,21,,,,5,99
13100,"University and Higher Education Teacher, Subject Unknown",42,,,2,1,5,99
13100,"University and Higher Education Teacher, Subject Unknown",,21,,,,5,99
13100,"University and Higher Education Teacher, Subject Unknown",,,,2,1,5,99
13120,Teacher in Physical Sciences (Third Level),42,,,2,1,5,99
13120,Teacher in Physical Sciences (Third Level),,,,2,1,5,99
13125,Teacher in Engineering and Architecture (Third Level),42,,,2,1,5,99
13125,Teacher in Engineering and Architecture (Third Level),,,,2,1,5,99
13130,Teacher in Life and Medical Sciences (Third Level),42,,,2,1,5,99
13130,Teacher in Life and Medical Sciences (Third Level),,,,2,1,5,99
13140,Teacher in Mathematics (Third Level),42,,,2,1,5,99
13140,Teacher in Mathematics (Third Level),,,,2,1,5,99
13145,Teacher in Economics and Commerce (Third Level),,,,2,1,5,99
13150,Teacher in Law (Third Level),42,,,2,1,5,99
13150,Teacher in Law (Third Level),,,,2,1,5,99
13155,Teacher in Education (Third Level),,,,2,1,5,99
13160,Teacher in Agricultural Science (Third Level),,,,2,1,5,99
13165,"Teacher in History, Philosophy, Sociology and Related Social Sciences (Third Level)",42,,,2,1,5,99
13165,"Teacher in History, Philosophy, Sociology and Related Social Sciences (Third Level)",,,,2,1,5,99
13170,Teacher in Languages and Literature (Third Level),42,,,2,1,5,99
13170,Teacher in Languages and Literature (Third Level),,,,2,1,5,99
13175,"Teacher in Medical Therapy, Advanced Nursing and Related Arts",,,,,,,
13180,Teacher in Industrial Arts (Third Level),,,,,,,
13190,Other University and Higher Education Teachers,42,,,2,1,5,99
13190,Other University and Higher Education Teachers,,,,2,1,5,99
13200,"Secondary Education Teacher, Subject Unknown",23,,,4,2,3,86.41
13200,"Secondary Education Teacher, Subject Unknown",31,,,1,1,5,86.41
13200,"Secondary Education Teacher, Subject Unknown",33,,,4,2,42,86.41
