,inputs,hisco_1,prob_1,desc_1,hisco_2,prob_2,desc_2,hisco_3,prob_3,desc_3,hisco_4,prob_4,desc_4,hisco_5,prob_5,desc_5
23,ge/de[SEP]bauhilfsarbeiter,99910.0,0.99975365,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
24,ge/de[SEP]schlosser,87105.0,0.6017106,"Plumber, General",87430.0,0.4104507,Structural Steel Worker (Workshop),84105.0,0.32587594,"Machinery Fitter, General",,,No pred,,,No pred
25,ge/de[SEP]dentisten,6310.0,0.98504144,"Dentist, General",,,No pred,,,No pred,,,No pred,,,No pred
26,ge/de[SEP]metzger,77310.0,0.99615663,"Butcher, General",,,No pred,,,No pred,,,No pred,,,No pred
27,ge/de[SEP]stenotypistin,32110.0,0.9971264,"StenographerTypist, General",,,No pred,,,No pred,,,No pred,,,No pred
28,ge/de[SEP]spengler,87310.0,0.98539263,"SheetMetal Worker, General",,,No pred,,,No pred,,,No pred,,,No pred
29,ge/de[SEP]bahngehilfen,98990.0,0.80814093,Other Transport Equipment Operators,,,No pred,,,No pred,,,No pred,,,No pred
30,ge/de[SEP]schreiner,81120.0,0.9996723,Cabinetmaker,,,No pred,,,No pred,,,No pred,,,No pred
31,ge/de[SEP]sattler,80320.0,0.9993051,Saddler and Harness Maker,,,No pred,,,No pred,,,No pred,,,No pred
32,ge/de[SEP]schreiner,81120.0,0.9996723,Cabinetmaker,,,No pred,,,No pred,,,No pred,,,No pred
33,ge/de[SEP]installateur,87105.0,0.98847663,"Plumber, General",,,No pred,,,No pred,,,No pred,,,No pred
34,ge/de[SEP]schreiner,81120.0,0.9996723,Cabinetmaker,,,No pred,,,No pred,,,No pred,,,No pred
35,ge/de[SEP]taglohner,99920.0,0.9866523,DayLabourer,,,No pred,,,No pred,,,No pred,,,No pred
36,ge/de[SEP]schlosser,87105.0,0.6017106,"Plumber, General",87430.0,0.4104507,Structural Steel Worker (Workshop),84105.0,0.32587594,"Machinery Fitter, General",,,No pred,,,No pred
37,ge/de[SEP]gerber,76145.0,0.9989072,Tanner,,,No pred,,,No pred,,,No pred,,,No pred
38,ge/de[SEP]arbeiter,99900.0,0.9896986,"Worker, No Further Information",,,No pred,,,No pred,,,No pred,,,No pred
39,ge/de[SEP]tagelohnerin,99920.0,0.9963153,DayLabourer,,,No pred,,,No pred,,,No pred,,,No pred
40,ge/de[SEP]hausierer,-1.0,0.8792452,"Missing, no title",,,No pred,,,No pred,,,No pred,,,No pred
41,ge/de[SEP]schneider,79100.0,0.99778664,"Tailor, Specialisation Unknown",,,No pred,,,No pred,,,No pred,,,No pred
42,ge/de[SEP]schachtmeister,22620.0,0.9908716,"Supervisor and General Foreman (Mining, Quarrying and WellDrilling)",,,No pred,,,No pred,,,No pred,,,No pred
43,ge/de[SEP]kaufmann,41025.0,0.995297,Working Proprietor (Wholesale or Retail Trade),,,No pred,,,No pred,,,No pred,,,No pred
44,ge/de[SEP]zimmermann,95410.0,0.99491346,"Carpenter, General",,,No pred,,,No pred,,,No pred,,,No pred
45,ge/de[SEP]schuhmacher,80110.0,0.99635553,"Shoemaker, General",,,No pred,,,No pred,,,No pred,,,No pred
46,ge/de[SEP]gutler und fleischbeschauer,61115.0,0.9944951,Small Subsistence Farmer (Husbandman),6520.0,0.9663395,Public Health Veterinarian,,,No pred,,,No pred,,,No pred
47,ge/de[SEP]schlosser,87105.0,0.6017106,"Plumber, General",87430.0,0.4104507,Structural Steel Worker (Workshop),84105.0,0.32587594,"Machinery Fitter, General",,,No pred,,,No pred
48,ge/de[SEP]wagnermeister,81925.0,0.9972036,Cartwright,,,No pred,,,No pred,,,No pred,,,No pred
49,ge/de[SEP]schreiner,81120.0,0.9996723,Cabinetmaker,,,No pred,,,No pred,,,No pred,,,No pred
50,ge/de[SEP]sattler,80320.0,0.9993051,Saddler and Harness Maker,,,No pred,,,No pred,,,No pred,,,No pred
51,ge/de[SEP]maler,93120.0,0.99980205,Building Painter,,,No pred,,,No pred,,,No pred,,,No pred
52,ge/de[SEP]hausangestellte,54020.0,0.9995447,House Servant,,,No pred,,,No pred,,,No pred,,,No pred
53,ge/de[SEP]tapezierer,95925.0,0.9460038,Paperhanger,,,No pred,,,No pred,,,No pred,,,No pred
54,ge/de[SEP]zitherlehrer,13020.0,0.2920562,"Teacher, Level and Subject Unknown, Not University and Higher Education Level",,,No pred,,,No pred,,,No pred,,,No pred
55,ge/de[SEP]arbeiterin,99900.0,0.99470127,"Worker, No Further Information",,,No pred,,,No pred,,,No pred,,,No pred
56,ge/de[SEP]zimmermann,95410.0,0.99491346,"Carpenter, General",,,No pred,,,No pred,,,No pred,,,No pred
57,ge/de[SEP]schneider,79100.0,0.99778664,"Tailor, Specialisation Unknown",,,No pred,,,No pred,,,No pred,,,No pred
58,ge/de[SEP]gastwirt,51020.0,0.99553645,Working Proprietor (Hotel and Restaurant),,,No pred,,,No pred,,,No pred,,,No pred
59,ge/de[SEP]bezirksdirektorsehefrau,21110.0,0.47338533,General Manager,,,No pred,,,No pred,,,No pred,,,No pred
60,ge/de[SEP]fabrikarbeiter,99930.0,0.99664176,Factory Worker,,,No pred,,,No pred,,,No pred,,,No pred
61,ge/de[SEP]feilenhauermeister,nan,,No pred,,,No pred,,,No pred,,,No pred,,,No pred
62,ge/de[SEP]vertreter,43200.0,0.99490756,Commercial Travellers and Manufacturers Agents,,,No pred,,,No pred,,,No pred,,,No pred
63,ge/de[SEP]zeichner,3110.0,0.9938664,"Draughtsman, General",,,No pred,,,No pred,,,No pred,,,No pred
64,ge/de[SEP]vertragsangestellten,39310.0,0.82975143,"Office Clerk, General",,,No pred,,,No pred,,,No pred,,,No pred
65,ge/de[SEP]dienstknecht,54020.0,0.9933982,House Servant,,,No pred,,,No pred,,,No pred,,,No pred
66,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
67,ge/de[SEP]schriftsetzersfrau,92120.0,0.97239774,Hand Compositor,,,No pred,,,No pred,,,No pred,,,No pred
68,ge/de[SEP]schachtmeister,22620.0,0.9908716,"Supervisor and General Foreman (Mining, Quarrying and WellDrilling)",,,No pred,,,No pred,,,No pred,,,No pred
69,ge/de[SEP]polierer,77990.0,0.22443803,Other Food and Beverage Processors,83590.0,0.22064863,"Other Metal Grinders, Polishers and Tool Sharpeners",,,No pred,,,No pred,,,No pred
70,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
71,ge/de[SEP]schlosser,87105.0,0.6017106,"Plumber, General",87430.0,0.4104507,Structural Steel Worker (Workshop),84105.0,0.32587594,"Machinery Fitter, General",,,No pred,,,No pred
72,ge/de[SEP]maurer,95120.0,0.9987556,Bricklayer (Construction),,,No pred,,,No pred,,,No pred,,,No pred
73,ge/de[SEP]schneider,79100.0,0.99778664,"Tailor, Specialisation Unknown",,,No pred,,,No pred,,,No pred,,,No pred
74,ge/de[SEP]kraftwagenfuhrer,98500.0,0.98163223,MotorVehicle Drivers,,,No pred,,,No pred,,,No pred,,,No pred
75,ge/de[SEP]schlosser,87105.0,0.6017106,"Plumber, General",87430.0,0.4104507,Structural Steel Worker (Workshop),84105.0,0.32587594,"Machinery Fitter, General",,,No pred,,,No pred
76,ge/de[SEP]steinhauer,71220.0,0.99788755,Stone Splitter,,,No pred,,,No pred,,,No pred,,,No pred
77,ge/de[SEP]schriftsteller,39320.0,0.80353254,Correspondence Clerk,,,No pred,,,No pred,,,No pred,,,No pred
78,ge/de[SEP]maschinenbauer,2410.0,0.99501073,"Mechanical Engineer, General",,,No pred,,,No pred,,,No pred,,,No pred
79,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
80,ge/de[SEP]arbeiter,99900.0,0.9896986,"Worker, No Further Information",,,No pred,,,No pred,,,No pred,,,No pred
81,ge/de[SEP]hilfsarbeitersfrau,99910.0,0.96860754,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
82,ge/de[SEP]buchpruferin,94980.0,0.6801056,Quality Inspector,,,No pred,,,No pred,,,No pred,,,No pred
83,ge/de[SEP]lanawirtsohn,61110.0,0.852897,General Farmer,,,No pred,,,No pred,,,No pred,,,No pred
84,ge/de[SEP]schlosser,87105.0,0.6017106,"Plumber, General",87430.0,0.4104507,Structural Steel Worker (Workshop),84105.0,0.32587594,"Machinery Fitter, General",,,No pred,,,No pred
85,ge/de[SEP]kurschner,98620.0,0.9513454,AnimalDrawn Vehicle Driver (Road),,,No pred,,,No pred,,,No pred,,,No pred
86,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
87,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
88,ge/de[SEP]schlosser,87105.0,0.6017106,"Plumber, General",87430.0,0.4104507,Structural Steel Worker (Workshop),84105.0,0.32587594,"Machinery Fitter, General",,,No pred,,,No pred
89,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
90,ge/de[SEP]schlosser,87105.0,0.6017106,"Plumber, General",87430.0,0.4104507,Structural Steel Worker (Workshop),84105.0,0.32587594,"Machinery Fitter, General",,,No pred,,,No pred
91,ge/de[SEP]kfm. angestelltenfrau,53100.0,0.7094817,"Cook, Specialisation Unknown",41025.0,0.29200462,Working Proprietor (Wholesale or Retail Trade),,,No pred,,,No pred,,,No pred
92,ge/de[SEP]damenschneiderin,79140.0,0.99650156,Dressmaker,,,No pred,,,No pred,,,No pred,,,No pred
93,ge/de[SEP]kriminaloberkommissarsgattin,58220.0,0.75658756,Policeman and other Maintainers of Law and Order (except Military),,,No pred,,,No pred,,,No pred,,,No pred
94,ge/de[SEP]taglohner,99920.0,0.9866523,DayLabourer,,,No pred,,,No pred,,,No pred,,,No pred
95,ge/de[SEP]schneider,79100.0,0.99778664,"Tailor, Specialisation Unknown",,,No pred,,,No pred,,,No pred,,,No pred
96,ge/de[SEP]mietautobesitzer,-1.0,0.911475,"Missing, no title",,,No pred,,,No pred,,,No pred,,,No pred
97,ge/de[SEP]kohlenhandler,41025.0,0.96916044,Working Proprietor (Wholesale or Retail Trade),,,No pred,,,No pred,,,No pred,,,No pred
98,ge/de[SEP]zimmermann,95410.0,0.99491346,"Carpenter, General",,,No pred,,,No pred,,,No pred,,,No pred
99,ge/de[SEP]schaffler,36000.0,0.986376,"Transport Conductor, Specialisation Unknown",,,No pred,,,No pred,,,No pred,,,No pred
100,ge/de[SEP]kriegsinvaliden,20110.0,0.42563367,Legislative Official,,,No pred,,,No pred,,,No pred,,,No pred
101,ge/de[SEP]schriftsetzer,92120.0,0.99599236,Hand Compositor,,,No pred,,,No pred,,,No pred,,,No pred
102,ge/de[SEP]mechaniker und handler,41025.0,0.9950695,Working Proprietor (Wholesale or Retail Trade),84300.0,0.44298488,MotorVehicle Mechanics,84900.0,0.31332427,"Machinery Fitter (except Electrical), Specialisation Unknown",,,No pred,,,No pred
103,ge/de[SEP]kaufmann,41025.0,0.995297,Working Proprietor (Wholesale or Retail Trade),,,No pred,,,No pred,,,No pred,,,No pred
104,ge/de[SEP]autoschlosser,84320.0,0.99724615,Automobile Mechanic,,,No pred,,,No pred,,,No pred,,,No pred
105,ge/de[SEP]gutler,61115.0,0.9948256,Small Subsistence Farmer (Husbandman),,,No pred,,,No pred,,,No pred,,,No pred
106,ge/de[SEP]schreiner,81120.0,0.9996723,Cabinetmaker,,,No pred,,,No pred,,,No pred,,,No pred
107,ge/de[SEP]maurer,95120.0,0.9987556,Bricklayer (Construction),,,No pred,,,No pred,,,No pred,,,No pred
108,ge/de[SEP]steinmetz,95145.0,0.4960206,Marble Setter,,,No pred,,,No pred,,,No pred,,,No pred
109,ge/de[SEP]kraftwagenfuhrer,98500.0,0.98163223,MotorVehicle Drivers,,,No pred,,,No pred,,,No pred,,,No pred
110,ge/de[SEP]packer,97152.0,0.97818995,"Packer, Hand or Machine",,,No pred,,,No pred,,,No pred,,,No pred
111,ge/de[SEP]studenten,-1.0,0.98179173,"Missing, no title",,,No pred,,,No pred,,,No pred,,,No pred
112,ge/de[SEP]zeitungsverlegerin,nan,,No pred,,,No pred,,,No pred,,,No pred,,,No pred
113,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
114,ge/de[SEP]maschinisten,96910.0,0.96903676,"Stationary Engine Operator, General",,,No pred,,,No pred,,,No pred,,,No pred
115,ge/de[SEP]landwirt,61110.0,0.9889416,General Farmer,,,No pred,,,No pred,,,No pred,,,No pred
116,ge/de[SEP]schuhmacher,80110.0,0.99635553,"Shoemaker, General",,,No pred,,,No pred,,,No pred,,,No pred
117,ge/de[SEP]zimmermann,95410.0,0.99491346,"Carpenter, General",,,No pred,,,No pred,,,No pred,,,No pred
118,ge/de[SEP]taglohner,99920.0,0.9866523,DayLabourer,,,No pred,,,No pred,,,No pred,,,No pred
119,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
120,ge/de[SEP]muller,77120.0,0.99916613,Grain Miller,,,No pred,,,No pred,,,No pred,,,No pred
121,ge/de[SEP]bucherrevisor,11020.0,0.98199075,Auditor,,,No pred,,,No pred,,,No pred,,,No pred
122,ge/de[SEP]drechslerneister,81230.0,0.99150664,Wood Turner,,,No pred,,,No pred,,,No pred,,,No pred
123,ge/de[SEP]maschinenschlosser,84105.0,0.9205274,"Machinery Fitter, General",,,No pred,,,No pred,,,No pred,,,No pred
124,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
125,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
126,ge/de[SEP]obsthausierer,41040.0,0.555351,Working Proprietor (Hiring Out),,,No pred,,,No pred,,,No pred,,,No pred
127,ge/de[SEP]kunstmaler,16130.0,0.9846469,"Painter, Artist",,,No pred,,,No pred,,,No pred,,,No pred
128,ge/de[SEP]landwirt,61110.0,0.9889416,General Farmer,,,No pred,,,No pred,,,No pred,,,No pred
129,ge/de[SEP]kraftwagenfuhrer,98500.0,0.98163223,MotorVehicle Drivers,,,No pred,,,No pred,,,No pred,,,No pred
130,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
131,ge/de[SEP]sattler,80320.0,0.9993051,Saddler and Harness Maker,,,No pred,,,No pred,,,No pred,,,No pred
132,ge/de[SEP]schneider,79100.0,0.99778664,"Tailor, Specialisation Unknown",,,No pred,,,No pred,,,No pred,,,No pred
133,ge/de[SEP]rechtsanwalt,12110.0,0.93142426,Lawyer,,,No pred,,,No pred,,,No pred,,,No pred
134,ge/de[SEP]pelzzurichter,12210.0,0.8532936,Judge,,,No pred,,,No pred,,,No pred,,,No pred
135,ge/de[SEP]zimmermann,95410.0,0.99491346,"Carpenter, General",,,No pred,,,No pred,,,No pred,,,No pred
136,ge/de[SEP]maschinistensehefrau,96910.0,0.7613169,"Stationary Engine Operator, General",,,No pred,,,No pred,,,No pred,,,No pred
137,ge/de[SEP]tischler,81120.0,0.98851144,Cabinetmaker,,,No pred,,,No pred,,,No pred,,,No pred
138,ge/de[SEP]telegraphenarbeiter,85600.0,0.99713933,"Telephone and Telegraph Installer, Specialisation Unknown",,,No pred,,,No pred,,,No pred,,,No pred
139,ge/de[SEP]melker,62510.0,0.9880806,"Dairy Farm Worker, General",,,No pred,,,No pred,,,No pred,,,No pred
140,ge/de[SEP]kassengehilfen,33160.0,0.7483497,Cash Desk Cashier,,,No pred,,,No pred,,,No pred,,,No pred
141,ge/de[SEP]dreher,83320.0,0.7760765,Lathe SetterOperator,,,No pred,,,No pred,,,No pred,,,No pred
142,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
143,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
144,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
145,ge/de[SEP]rentnerin,-1.0,0.99875104,"Missing, no title",,,No pred,,,No pred,,,No pred,,,No pred
146,ge/de[SEP]landwirt,61110.0,0.9889416,General Farmer,,,No pred,,,No pred,,,No pred,,,No pred
147,ge/de[SEP]backer und taglohner,99920.0,0.9969548,DayLabourer,77610.0,0.9587303,"Baker, General",,,No pred,,,No pred,,,No pred
148,ge/de[SEP]verkauferin,45125.0,0.9712613,"Salesperson, Wholesale or Retail Trade",,,No pred,,,No pred,,,No pred,,,No pred
149,ge/de[SEP]ofensetzer,95130.0,0.986912,Firebrick Layer,,,No pred,,,No pred,,,No pred,,,No pred
150,ge/de[SEP]maschinenfuhrer,99999.0,0.9980539,Unspecified worktitle or several titles,,,No pred,,,No pred,,,No pred,,,No pred
151,ge/de[SEP]kraftwagenfuhrer,98500.0,0.98163223,MotorVehicle Drivers,,,No pred,,,No pred,,,No pred,,,No pred
152,ge/de[SEP]maurer,95120.0,0.9987556,Bricklayer (Construction),,,No pred,,,No pred,,,No pred,,,No pred
153,ge/de[SEP]kriegsinvaliden,20110.0,0.42563367,Legislative Official,,,No pred,,,No pred,,,No pred,,,No pred
154,ge/de[SEP]maurer,95120.0,0.9987556,Bricklayer (Construction),,,No pred,,,No pred,,,No pred,,,No pred
155,ge/de[SEP]tischler,81120.0,0.98851144,Cabinetmaker,,,No pred,,,No pred,,,No pred,,,No pred
156,ge/de[SEP]buchhalterin,33110.0,0.99842477,"Bookkeeper, General",,,No pred,,,No pred,,,No pred,,,No pred
157,ge/de[SEP]malermeister,93120.0,0.99687696,Building Painter,,,No pred,,,No pred,,,No pred,,,No pred
158,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
159,ge/de[SEP]bootsbauer,98120.0,0.96597445,Boatswain,,,No pred,,,No pred,,,No pred,,,No pred
160,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
161,ge/de[SEP]versicherungsbeamten,39350.0,0.9927921,Insurance Clerk,,,No pred,,,No pred,,,No pred,,,No pred
162,ge/de[SEP]schneider,79100.0,0.99778664,"Tailor, Specialisation Unknown",,,No pred,,,No pred,,,No pred,,,No pred
163,ge/de[SEP]kontoristin,39310.0,0.98769546,"Office Clerk, General",,,No pred,,,No pred,,,No pred,,,No pred
164,ge/de[SEP]handler,41025.0,0.9920562,Working Proprietor (Wholesale or Retail Trade),,,No pred,,,No pred,,,No pred,,,No pred
165,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
166,ge/de[SEP]knecht,54020.0,0.2515543,House Servant,,,No pred,,,No pred,,,No pred,,,No pred
167,ge/de[SEP]fabrikarbeiter,99930.0,0.99664176,Factory Worker,,,No pred,,,No pred,,,No pred,,,No pred
168,ge/de[SEP]oberkaser,nan,,No pred,,,No pred,,,No pred,,,No pred,,,No pred
169,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
170,ge/de[SEP]postobersekretar,39310.0,0.9563328,"Office Clerk, General",,,No pred,,,No pred,,,No pred,,,No pred
171,ge/de[SEP]lichtspielvorfuhrer,nan,,No pred,,,No pred,,,No pred,,,No pred,,,No pred
172,ge/de[SEP]pensionsinhaber,51040.0,0.8350484,Working Proprietor (Guest House),,,No pred,,,No pred,,,No pred,,,No pred
173,ge/de[SEP]heizer und hausierer,98330.0,0.6483956,Railway SteamEngine Fireman,98220.0,0.3801865,Ship's Fireman,,,No pred,,,No pred,,,No pred
174,ge/de[SEP]kassierin,33135.0,0.8735865,"Cashier, Office or Cash Desk",,,No pred,,,No pred,,,No pred,,,No pred
175,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
176,ge/de[SEP]werkzeugmacher,83220.0,0.9920311,Tool and Die Maker,,,No pred,,,No pred,,,No pred,,,No pred
177,ge/de[SEP]schmied,83110.0,0.76860225,"Blacksmith, General",83190.0,0.6888336,"Other Blacksmiths, Hammersmiths and ForgingPress Operators",,,No pred,,,No pred,,,No pred
178,ge/de[SEP]ingenieursfrau,2000.0,0.9949065,"Engineer, Specialisation Unknown",,,No pred,,,No pred,,,No pred,,,No pred
179,ge/de[SEP]eisendreher,83320.0,0.9969805,Lathe SetterOperator,,,No pred,,,No pred,,,No pred,,,No pred
180,ge/de[SEP]schneider,79100.0,0.99778664,"Tailor, Specialisation Unknown",,,No pred,,,No pred,,,No pred,,,No pred
181,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
182,ge/de[SEP]putzerin,nan,,No pred,,,No pred,,,No pred,,,No pred,,,No pred
183,ge/de[SEP]kunstmalerswitwe,16130.0,0.8601442,"Painter, Artist",,,No pred,,,No pred,,,No pred,,,No pred
184,ge/de[SEP]reisenden,nan,,No pred,,,No pred,,,No pred,,,No pred,,,No pred
185,ge/de[SEP]schachtmeister,22620.0,0.9908716,"Supervisor and General Foreman (Mining, Quarrying and WellDrilling)",,,No pred,,,No pred,,,No pred,,,No pred
186,ge/de[SEP]sager,73210.0,0.99278146,"Sawyer, General",,,No pred,,,No pred,,,No pred,,,No pred
187,ge/de[SEP]schneider,79100.0,0.99778664,"Tailor, Specialisation Unknown",,,No pred,,,No pred,,,No pred,,,No pred
188,ge/de[SEP]autospengler,nan,,No pred,,,No pred,,,No pred,,,No pred,,,No pred
189,ge/de[SEP]hilfsarbeiter und kommunisten,14120.0,0.9992072,Minister of Religion,99910.0,0.9925494,Labourer,,,No pred,,,No pred,,,No pred
190,ge/de[SEP]obergefreiten,58340.0,0.99958414,Other Military Ranks,,,No pred,,,No pred,,,No pred,,,No pred
191,ge/de[SEP]gutler,61115.0,0.9948256,Small Subsistence Farmer (Husbandman),,,No pred,,,No pred,,,No pred,,,No pred
192,ge/de[SEP]backergehilfen,77610.0,0.97245526,"Baker, General",,,No pred,,,No pred,,,No pred,,,No pred
193,ge/de[SEP]schuhmacher,80110.0,0.99635553,"Shoemaker, General",,,No pred,,,No pred,,,No pred,,,No pred
194,ge/de[SEP]landwirtssohn,61110.0,0.9922652,General Farmer,,,No pred,,,No pred,,,No pred,,,No pred
195,ge/de[SEP]schriftsteller,39320.0,0.80353254,Correspondence Clerk,,,No pred,,,No pred,,,No pred,,,No pred
196,ge/de[SEP]wegmacher,75432.0,0.487295,Cotton Weaver (Hand or Machine),,,No pred,,,No pred,,,No pred,,,No pred
197,ge/de[SEP]landwirt,61110.0,0.9889416,General Farmer,,,No pred,,,No pred,,,No pred,,,No pred
198,ge/de[SEP]italiener,62400.0,0.9084373,Livestock Workers,,,No pred,,,No pred,,,No pred,,,No pred
199,ge/de[SEP]kanzleidienstanwarter,39310.0,0.58238095,"Office Clerk, General",,,No pred,,,No pred,,,No pred,,,No pred
200,ge/de[SEP]handler,41025.0,0.9920562,Working Proprietor (Wholesale or Retail Trade),,,No pred,,,No pred,,,No pred,,,No pred
201,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
202,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
203,ge/de[SEP]bahngehilfen,98990.0,0.80814093,Other Transport Equipment Operators,,,No pred,,,No pred,,,No pred,,,No pred
204,ge/de[SEP]kunstglaser,89120.0,0.6055341,Glass Blower,,,No pred,,,No pred,,,No pred,,,No pred
205,ge/de[SEP]kaminkehrer,55240.0,0.9947009,Chimney Sweep,,,No pred,,,No pred,,,No pred,,,No pred
206,ge/de[SEP]kochin,53100.0,0.99824226,"Cook, Specialisation Unknown",,,No pred,,,No pred,,,No pred,,,No pred
207,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
208,ge/de[SEP]hilfsarbeiter,99910.0,0.9799937,Labourer,,,No pred,,,No pred,,,No pred,,,No pred
209,ge/de[SEP]landwirtssohn,61110.0,0.9922652,General Farmer,,,No pred,,,No pred,,,No pred,,,No pred
